AUTOR,ÁLBUM,DATA,GÊNERO,NOTA,CAPA,PAÍS
Nirvana,MTV Unplugged In New York,01/11/1994,Acústico,10,4,
WILLOW,ARDIPITHECUS,11/01/2015,Alternativo,8,4,EUA
Empire Of The Sun,Walking On A Dream,29/05/2009,Alternativo/Indie/Pop,6,1,
The Weeknd,Live At Sofi Stadium,03/03/2023,Ao Vivo,8,5,Canadá
Brilha Som,2024 - EP [EP],11/06/2024,Bandinha,3,1,Brasil
Wilceu Pause,25 Rosas,22/06/2006,Bandinha,7,0,Brasil
Harold Melvin & The Blue Notes,Harold Melvin & The Blue Notes,01/01/1972,Blues,8,2,EUA
Janis Joplin,I Got Dem Ol' Kozmic Blues Again Mama!,11/09/1969,Blues/Soul,9,4,
Rogério Skylab,Skylab IV,01/01/2005,Comédia,5,,
Bryan Martin,Self Inflicted Scars,29/04/2022,Country,6,1,EUA
Bryan Martin,Poets & Old Souls,31/03/2023,Country,4,2,EUA
Chris Stapleton,Higher,10/11/2023,Country,7,3,
Guy Clarck,The South Coast of Texas,01/01/1981,Country,8,1,
Jerry Reed,Georgia Sunshine,01/12/1970,Country,9,,
Jerry Reed,The Unbelievable Guitar & Voice of Jerry Reed,01/01/1967,Country,8,,
Jerry Reed,Mind Your Love,01/01/1975,Country,8,,
Jerry Reed,East Bound and Town,01/08/1977,Country,8,,
Lynn Anderson,Rose Garden,01/01/1971,Country,8,1,EUA
Ringo Starr,Look Up,10/01/2025,Country,5,3,Inglaterra
Taylor Swift,Taylor Swift,24/10/2006,Country,5,0,EUA
Taylor Swift,Fearless,11/11/2008,Country,5,0,EUA
Waylon Jennings,Folk-Country,14/03/1966,Country,8,2,EUA
Waylon Jennings & Willie Nelson,Waylon & Willie,01/01/1978,Country,8,4,EUA
Mitski,The Land Is Inhospitable And So Are We,15/09/2023,Country/Folk,8,2,Japão
Village People,YMCA,01/01/1978,Disco,9,2,EUA
Village People,Go West In The Navy,01/01/1979,Disco,9,2,EUA
Village People,San Francisco Macho Man,01/01/1978,Disco,8,0,EUA
Nova Geração,Preciso de Você,01/01/1990,Divino,100,100,Brasil
Nova Geração,Só Quero Amar Você,01/01/1991,Divino,100,100,Brasil
Alan Walker,Different World,14/12/2018,Eletrônica,8,1,
Antdot,Mirrors [EP],02/10/2020,Eletrônica,5,1,Brasil
Avicii,TRUE,01/01/2013,Eletrônica,6,0,Suécia
Avicii,Stories,02/10/2015,Eletrônica,5,0,Suécia
Avicii,AVICI (01) [EP],10/08/2017,Eletrônica,4,2,Suécia
Avicii,TIM,06/06/2019,Eletrônica,4,1,Suécia
Calvin Harris,96 Months,09/08/2024,Eletrônica,6,0,Escócia
Cassian,Laps,26/06/2020,Eletrônica,5,,
Claptone,Charmer,16/10/2015,Eletrônica,6,3,
Daft Punk,Random Access Memories,20/05/2013,Eletrônica,9,5,França
Daft Punk,Discovery,12/03/2001,Eletrônica,7,5,França
Depeche Mode,Memento Mori,24/03/2023,Eletrônica,8,2,
Justice,Hyperdrama,26/04/2024,Eletrônica,10,3,França
Justice,Justice,11/06/2007,Eletrônica,7,2,França
Kraftwerk,The Man-Machine,01/01/1978,Eletrônica,7,1,
Rooftime,I Promise You [EP],28/04/2023,Eletrônica,7,,Brasil
Skrillex,Scary Monsters and Nice Sprites,21/10/2010,Eletrônica,9,,
Skrillex,Bangarang [EP],27/12/2011,Eletrônica,8,,
Skrillex,Recess,14/03/2014,Eletrônica,8,,
Skrillex,Quest For Fire,17/02/2023,Eletrônica,7,,
